"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"237351_at",-4.15665473198476,2.95655199630579,-21.2990049781467,1.36358999093634e-42,7.45542827544446e-38,86.2365966234485
"214505_s_at",-5.37346542466693,4.41011070527273,-20.6793051127983,2.2238002191759e-41,6.07931384917212e-37,83.4982049862098
"89977_at",-4.3656538656115,3.11606457590909,-20.4184019662161,7.3068629218862e-41,1.33167576751376e-36,82.3304743236418
"230595_at",-3.58264338405548,2.91407675797521,-20.3185128783774,1.15479849731764e-40,1.43473317031697e-36,81.8810604187851
"214582_at",-4.40909778863978,3.14658973001653,-20.2906984145282,1.31205593993321e-40,1.43473317031697e-36,81.755688712202
"223764_x_at",-3.50607290562898,2.85191547441322,-19.986388734056,5.33731768481547e-40,4.86363074028809e-36,80.3774540433818
"219059_s_at",-4.44331503759336,3.00984852873554,-19.7856900729831,1.35513149996329e-39,1.05845449657847e-35,79.4618664703753
"235670_at",-3.58966974250457,2.95757510520661,-19.6287423562429,2.8181408772634e-39,1.9260231558047e-35,78.7422004359614
"206930_at",-4.48815015292656,2.96766882066116,-19.5957168474433,3.28885969316909e-39,1.99798226360022e-35,78.5903550032719
"221295_at",-3.93009694573818,3.00111955195041,-19.4875992380068,5.45853756839842e-39,2.98445541552184e-35,78.0922497736755
"222083_at",-5.1308059996958,3.12694300176033,-19.4205584352027,7.47883094353089e-39,3.71731892579592e-35,77.7826186382691
"235201_at",-2.72765178917877,2.85098438920661,-19.3774307736808,9.16095663110125e-39,4.17396086504551e-35,77.5831199751977
"235382_at",-4.14558306146839,3.0033164955124,-19.2235810254355,1.89268621983503e-38,7.96020146688311e-35,76.8694586621809
"230463_at",-3.70458784234902,2.95936227393388,-19.0193085471016,4.98322528828404e-38,1.94612744740664e-34,75.9171015353388
"223727_at",-4.43412520861093,4.11836992513223,-18.8869195009062,9.35876313982494e-38,3.41126916446619e-34,75.2969530077129
"232313_at",-3.79893174463638,5.09337377700826,-18.8542485403834,1.09373586429496e-37,3.73750052377043e-34,75.1435587961089
"206069_s_at",-3.61100601371727,2.85086704899174,-18.8248530084781,1.25854858940025e-37,4.04771436032108e-34,75.0054233680414
"239273_s_at",-3.37498223780719,2.96278552386777,-18.7829662224926,1.53749177244294e-37,4.67013125879544e-34,74.8083930834212
"220061_at",-3.61375752206285,3.62321833866942,-18.7053306210301,2.22953041235308e-37,6.41576712081077e-34,74.442595774198
"204997_at",-5.37890761199382,3.27606224777686,-18.657008301827,2.81086896282672e-37,7.40667252701544e-34,74.2145150744506
"206262_at",-4.5962494901375,3.25789273910744,-18.6545066178721,2.84481249322952e-37,7.40667252701544e-34,74.2026988174968
"206030_at",-4.68077780768107,3.17096029665289,-18.5469230411186,4.77049813692926e-37,1.14110048688627e-33,73.693770133687
"230282_at",-2.24034958462221,2.72619480572727,-18.5451657036033,4.81101049764622e-37,1.14110048688627e-33,73.6854443716015
"243879_at",-3.58665965451305,3.13142328821488,-18.5367882169021,5.00894589579706e-37,1.14110048688627e-33,73.6457486703518
"1563182_at",-4.83035759268732,4.46505912516529,-18.4968328068719,6.07171607024015e-37,1.32788430456152e-33,73.4562982019895
"1552519_at",-5.83013652149442,3.44225464800826,-18.4556314717693,7.4058399904512e-37,1.557362697992e-33,73.2607209188954
"1555741_at",-2.80764902636371,2.73662678339669,-18.4098900413967,9.23532317376075e-37,1.87015294268655e-33,73.0433317681026
"236383_at",-2.80614779100346,2.88833316715702,-18.2750956339792,1.77280525601972e-36,3.46171883474565e-33,72.4011184777902
"206068_s_at",-3.61965097822684,2.98860108827273,-18.2647977479007,1.86353858504387e-36,3.51341283231977e-33,72.3519575001273
"220736_at",-4.51392137293215,3.02106040386777,-18.1730317231339,2.90914790743432e-36,5.30192206129904e-33,71.9132638355746
"220327_at",-3.53736253410299,3.24145003709091,-18.1281702513026,3.61821617447968e-36,6.38148288192504e-33,71.6983997601861
"203295_s_at",-2.41720882546949,2.72662696445455,-18.0731437004331,4.72975241427721e-36,8.08122541408145e-33,71.4344908715997
"239220_at",-3.60988616867879,3.55887075742975,-17.962456738596,8.11650777947784e-36,1.34475776619076e-32,70.9024355788097
"235708_at",-4.87366573355831,3.14128790842149,-17.9533112910186,8.48744958560024e-36,1.36485678262557e-32,70.8584033172874
"214040_s_at",-2.31259482118105,3.12692081342975,-17.9113079026302,1.04225373003189e-35,1.62814921969981e-32,70.6560310457069
"218934_s_at",-3.60560148502496,2.89090405673554,-17.850579003885,1.40315281976685e-35,2.1310383450209e-32,70.3630328244066
"238003_at",-4.63872265112733,3.36938450319835,-17.7277048251302,2.56446317902219e-35,3.78951417062265e-32,69.7687347311821
"1558820_a_at",-2.17918153541633,3.07765686007438,-17.7046938921389,2.87166101485081e-35,4.13179121018337e-32,69.6572209561657
"230309_at",-4.41399582168216,3.39014909408264,-17.6510106393184,3.74006150922612e-35,5.24327853889585e-32,69.396798116238
"230670_at",-2.31945432211882,2.95353248279339,-17.6279493710921,4.19005223390408e-35,5.72727764721763e-32,69.2848107729207
"206209_s_at",-3.81191481538017,2.9575600382314,-17.615879992487,4.44686563713498e-35,5.93005801732574e-32,69.2261734235599
"229480_at",-3.84014655264881,3.0954742448595,-17.5734547557376,5.48186618116577e-35,7.13621508226758e-32,69.0199066558421
"208383_s_at",-6.17612779389769,3.85453379213223,-17.4835960175768,8.54532151649411e-35,1.08654756724259e-31,68.5822539592232
"241866_at",-3.5991658051375,3.81413986154545,-17.4569433352802,9.74986372367664e-35,1.21153136157277e-31,68.4522425408111
"213325_at",-2.29162043802207,2.87110791766116,-17.4460081717876,1.02921644967267e-34,1.25049798635229e-31,68.3988744107039
"205208_at",-3.34675054348082,3.38799598633058,-17.4388669559904,1.06625787591236e-34,1.26734020359801e-31,68.36401398163
"1558420_at",-4.46789949829756,3.18195381928926,-17.4319736511372,1.10328404227072e-34,1.28344797896067e-31,68.3303575038056
"239345_at",-5.19967506404018,3.55853390478512,-17.420340339593,1.16872508476295e-34,1.3312509168628e-31,68.273544087858
"210807_s_at",-3.67960707253907,3.19773912669422,-17.4095906187344,1.23265966577492e-34,1.37542178012743e-31,68.2210303212162
"231683_at",-3.13536867306282,2.88718729219835,-17.3816077087707,1.41607121662442e-34,1.5484738753788e-31,68.0842602934442
"1556056_at",-2.81629783543441,2.76140168543802,-17.3575013308063,1.59593651838003e-34,1.70227603521656e-31,67.9663563457473
"210963_s_at",-3.79424013389656,2.94026049035537,-17.3543567857222,1.62103348765556e-34,1.70227603521656e-31,67.950970898411
"206742_at",-4.04087666820082,3.08004860478512,-17.3507723031212,1.65012583203435e-34,1.70227603521656e-31,67.9334313963099
"205609_at",-4.36718638875119,3.86725045470248,-17.3018426903714,2.10395778347938e-34,2.13025725577288e-31,67.6938447446891
"210298_x_at",-5.46231092192425,3.30265242613223,-17.2660983249957,2.51306681943665e-34,2.49821687913998e-31,67.518625650365
"201539_s_at",-5.63722991083378,3.40805612865289,-17.214654782811,3.24626977464305e-34,3.16946071301087e-31,67.2661608259899
"1553243_at",-3.86820088589373,3.4952809537438,-17.1604143187953,4.25367907103037e-34,4.0801737405015e-31,66.9996018652866
"202884_s_at",-3.70878169572065,3.27704179645455,-17.1407717863015,4.69149937264153e-34,4.42254703791683e-31,66.9029777024624
"231790_at",-2.65922835244517,2.75544055617355,-17.0804462073344,6.3403110485265e-34,5.87553400979977e-31,66.6059195094598
"207537_at",-3.66911326468445,3.03576314296694,-17.043088375643,7.64202797604995e-34,6.96379799317552e-31,66.4217268797722
"210106_at",-4.51047714802383,4.42142533617355,-17.0052382743938,9.2353173516297e-34,8.27772092131728e-31,66.2349253503564
"220037_s_at",-2.63020441390841,2.70969051886777,-16.9515955974918,1.20820853559185e-33,1.06546454328201e-30,65.969869809063
"244276_at",-5.43018024749217,3.71474297510744,-16.9310334178197,1.33940574548697e-33,1.16241284340476e-30,65.8681721992875
"239183_at",-1.96647201557696,2.59804213369421,-16.8553465790073,1.95839778624854e-33,1.67305310879905e-30,65.4933727750205
"228540_at",-2.24970002177434,2.8325405567686,-16.8444876619742,2.06822243148944e-33,1.73969325294901e-30,65.4395400083474
"228082_at",-2.92344100538861,3.01962364423967,-16.7862192937709,2.77241351067919e-33,2.29669255600583e-30,65.15042097991
"1558552_s_at",-2.30825414772118,2.70438434279339,-16.7223285124681,3.82477897343019e-33,3.12119090107904e-30,64.83291055375
"220868_s_at",-2.67589891332756,2.74226314309091,-16.5388222921308,9.66483977580237e-33,7.77095756973521e-30,63.9181008367403
"237017_s_at",-2.99707966400851,2.81376072709917,-16.4666362236643,1.39331453161114e-32,1.10405031907013e-29,63.5570832656241
"233346_at",-2.47287352490443,2.68314899938843,-16.422627636068,1.74192788438028e-32,1.36057010112131e-29,63.3366678478896
"237154_at",-5.50893036188413,3.5766588232562,-16.3971819389525,1.98221543027836e-32,1.52644547395028e-29,63.2091138885581
"227529_s_at",-4.58814346698705,3.29550497667769,-16.3858983413168,2.09917084066052e-32,1.59405785712658e-29,63.1525257864518
"1554044_a_at",-4.96116671828626,3.31764262282645,-16.3813811928512,2.14791263970754e-32,1.60872772021931e-29,63.1298675047269
